date,expiration date,days till exp,adj strike,ask price,bid price,open interest,delta interest,adj ask breakeven,raw ask breakeven,adj bid breakeven,raw bid breakeven,adj closing,adj exp closing
2016-09-13,2018-01-19,353,4.0,0.87,0.79,6284,15,-2.61,-2.61,-2.53,-2.53,5.74,12.59
2016-09-13,2018-01-19,353,4.5,1.1,1.01,138,0,-2.34,-2.34,-2.25,-2.25,5.74,12.59
2016-09-13,2018-01-19,353,5.0,1.33,1.29,3534,15,-2.07,-2.07,-2.03,-2.03,5.74,12.59
2016-09-13,2018-01-19,353,5.5,1.64,1.56,7815,34,-1.88,-1.88,-1.8,-1.8,5.74,12.59
2016-09-13,2018-01-19,353,7.0,2.74,2.43,6079,242,-1.48,-1.48,-1.17,-1.17,5.74,12.59
2016-09-13,2018-01-19,353,10.0,5.05,4.7,69,0,-0.79,-0.79,-0.44,-0.44,5.74,12.59
2016-09-13,2018-01-19,353,12.0,6.85,6.55,218,168,-0.59,-0.59,-0.29,-0.29,5.74,12.59
2016-09-13,2018-01-19,353,15.0,9.7,9.3,0,0,-0.44,-0.44,-0.04,-0.04,5.74,12.59
2016-09-13,2019-01-18,613,2.0,0.62,0.16,0,0,-4.36,-4.36,-3.9,-3.9,5.74,20.77
2016-09-13,2019-01-18,613,3.0,0.79,0.57,0,0,-3.53,-3.53,-3.31,-3.31,5.74,20.77
2016-09-13,2019-01-18,613,4.0,1.31,1.16,0,0,-3.05,-3.05,-2.9,-2.9,5.74,20.77
2016-09-13,2019-01-18,613,5.0,1.9,1.73,0,0,-2.64,-2.64,-2.47,-2.47,5.74,20.77
2016-09-13,2019-01-18,613,7.0,3.35,2.64,0,0,-2.09,-2.09,-1.38,-1.38,5.74,20.77
2016-09-13,2019-01-18,613,10.0,5.85,4.9,0,0,-1.59,-1.59,-0.64,-0.64,5.74,20.77
2016-09-13,2019-01-18,613,12.0,7.55,6.6,0,0,-1.29,-1.29,-0.34,-0.34,5.74,20.77
2016-09-14,2016-09-16,2,1.0,0.02,0.0,0,0,-5.06,-5.06,-5.04,-5.04,6.04,6.05
2016-09-14,2016-09-16,2,1.5,0.02,0.0,0,0,-4.56,-4.56,-4.54,-4.54,6.04,6.05
2016-09-14,2016-09-16,2,2.0,0.02,0.0,0,0,-4.06,-4.06,-4.04,-4.04,6.04,6.05
2016-09-14,2016-09-16,2,2.5,0.02,0.0,0,0,-3.56,-3.56,-3.54,-3.54,6.04,6.05
2016-09-14,2016-09-16,2,3.0,0.02,0.0,0,0,-3.06,-3.06,-3.04,-3.04,6.04,6.05
2016-09-14,2016-09-16,2,3.5,0.02,0.0,0,0,-2.56,-2.56,-2.54,-2.54,6.04,6.05
2016-09-14,2016-09-16,2,4.0,0.01,0.0,20,0,-2.05,-2.05,-2.04,-2.04,6.04,6.05
2016-09-14,2016-09-16,2,4.5,0.01,0.0,0,0,-1.55,-1.55,-1.54,-1.54,6.04,6.05
2016-09-14,2016-09-16,2,5.0,0.01,0.0,1608,0,-1.05,-1.05,-1.04,-1.04,6.04,6.05
2016-09-14,2016-09-16,2,5.5,0.02,0.01,2004,0,-0.56,-0.56,-0.55,-0.55,6.04,6.05
2016-09-14,2016-09-16,2,6.0,0.12,0.1,4915,-166,-0.16,-0.16,-0.14,-0.14,6.04,6.05
2016-09-14,2016-09-16,2,6.5,0.49,0.45,6074,-45,-0.03,-0.03,0.01,0.01,6.04,6.05
2016-09-14,2016-09-16,2,7.0,0.97,0.93,11126,-376,-0.01,-0.01,0.03,0.03,6.04,6.05
2016-09-14,2016-09-16,2,7.5,1.47,1.43,1500,-239,-0.01,-0.01,0.03,0.03,6.04,6.05
2016-09-14,2016-09-16,2,8.0,1.97,1.92,683,0,-0.01,-0.01,0.04,0.04,6.04,6.05
2016-09-14,2016-09-16,2,8.5,2.47,2.42,21,0,-0.01,-0.01,0.04,0.04,6.04,6.05
2016-09-14,2016-09-16,2,9.0,2.97,2.92,23,0,-0.01,-0.01,0.04,0.04,6.04,6.05
2016-09-14,2016-09-16,2,9.5,3.5,3.4,1,0,-0.04,-0.04,0.06,0.06,6.04,6.05
2016-09-14,2016-09-16,2,10.0,4.0,3.9,11,0,-0.04,-0.04,0.06,0.06,6.04,6.05
2016-09-14,2016-09-16,2,10.5,4.5,4.4,0,0,-0.04,-0.04,0.06,0.06,6.04,6.05
2016-09-14,2016-09-16,2,11.0,5.0,4.9,0,0,-0.04,-0.04,0.06,0.06,6.04,6.05
2016-09-14,2016-09-16,2,11.5,5.5,5.4,0,0,-0.04,-0.04,0.06,0.06,6.04,6.05
2016-09-14,2016-09-16,2,12.0,6.0,5.9,14,0,-0.04,-0.04,0.06,0.06,6.04,6.05
2016-09-14,2016-09-16,2,12.5,6.5,6.4,0,0,-0.04,-0.04,0.06,0.06,6.04,6.05
2016-09-14,2016-09-16,2,13.0,7.0,6.9,0,0,-0.04,-0.04,0.06,0.06,6.04,6.05
2016-09-14,2016-09-16,2,14.0,8.15,7.85,0,0,-0.19,-0.19,0.11,0.11,6.04,6.05
2016-09-14,2016-09-16,2,15.0,9.13,8.9,0,0,-0.17,-0.17,0.06,0.06,6.04,6.05
2016-09-14,2016-09-23,7,0.5,0.02,0.0,0,0,-5.56,-5.56,-5.54,-5.54,6.04,6.55
2016-09-14,2016-09-23,7,1.0,0.02,0.0,0,0,-5.06,-5.06,-5.04,-5.04,6.04,6.55
2016-09-14,2016-09-23,7,1.5,0.02,0.0,0,0,-4.56,-4.56,-4.54,-4.54,6.04,6.55
2016-09-14,2016-09-23,7,2.0,0.02,0.0,0,0,-4.06,-4.06,-4.04,-4.04,6.04,6.55
2016-09-14,2016-09-23,7,2.5,0.02,0.0,0,0,-3.56,-3.56,-3.54,-3.54,6.04,6.55
2016-09-14,2016-09-23,7,3.0,0.02,0.0,0,0,-3.06,-3.06,-3.04,-3.04,6.04,6.55
2016-09-14,2016-09-23,7,3.5,0.04,0.0,0,0,-2.58,-2.58,-2.54,-2.54,6.04,6.55
2016-09-14,2016-09-23,7,4.0,0.02,0.0,0,0,-2.06,-2.06,-2.04,-2.04,6.04,6.55
2016-09-14,2016-09-23,7,4.5,0.08,0.0,0,0,-1.62,-1.62,-1.54,-1.54,6.04,6.55
2016-09-14,2016-09-23,7,5.0,0.05,0.01,178,0,-1.09,-1.09,-1.05,-1.05,6.04,6.55
2016-09-14,2016-09-23,7,5.5,0.1,0.06,1395,51,-0.64,-0.64,-0.6,-0.6,6.04,6.55
2016-09-14,2016-09-23,7,6.0,0.25,0.22,776,2,-0.29,-0.29,-0.26,-0.26,6.04,6.55
2016-09-14,2016-09-23,7,6.5,0.57,0.53,198,34,-0.11,-0.11,-0.07,-0.07,6.04,6.55
2016-09-14,2016-09-23,7,7.0,1.01,0.96,338,10,-0.05,-0.05,0.0,0.0,6.04,6.55
2016-09-14,2016-09-23,7,7.5,1.48,1.43,942,0,-0.02,-0.02,0.03,0.03,6.04,6.55
2016-09-14,2016-09-23,7,8.0,1.98,1.93,109,0,-0.02,-0.02,0.03,0.03,6.04,6.55
2016-09-14,2016-09-23,7,8.5,2.48,2.43,0,0,-0.02,-0.02,0.03,0.03,6.04,6.55
2016-09-14,2016-09-23,7,9.0,2.98,2.93,92,0,-0.02,-0.02,0.03,0.03,6.04,6.55
2016-09-14,2016-09-23,7,9.5,3.5,3.4,6,0,-0.04,-0.04,0.06,0.06,6.04,6.55
2016-09-14,2016-09-23,7,10.0,4.0,3.9,3,0,-0.04,-0.04,0.06,0.06,6.04,6.55
2016-09-14,2016-09-23,7,10.5,4.5,4.4,0,0,-0.04,-0.04,0.06,0.06,6.04,6.55
2016-09-14,2016-09-23,7,11.0,5.0,4.9,0,0,-0.04,-0.04,0.06,0.06,6.04,6.55
2016-09-14,2016-09-23,7,11.5,5.5,5.4,0,0,-0.04,-0.04,0.06,0.06,6.04,6.55
2016-09-14,2016-09-23,7,12.0,6.0,5.9,0,0,-0.04,-0.04,0.06,0.06,6.04,6.55
2016-09-14,2016-09-23,7,12.5,6.5,6.4,0,0,-0.04,-0.04,0.06,0.06,6.04,6.55
2016-09-14,2016-09-23,7,13.0,7.0,6.9,0,0,-0.04,-0.04,0.06,0.06,6.04,6.55
2016-09-14,2016-09-23,7,13.5,7.5,7.4,0,0,-0.04,-0.04,0.06,0.06,6.04,6.55
2016-09-14,2016-09-23,7,14.0,8.15,7.78,0,0,-0.19,-0.19,0.18,0.18,6.04,6.55
2016-09-14,2016-09-30,12,0.5,0.02,0.0,0,0,-5.56,-5.56,-5.54,-5.54,6.04,6.91
2016-09-14,2016-09-30,12,1.0,0.02,0.0,0,0,-5.06,-5.06,-5.04,-5.04,6.04,6.91
2016-09-14,2016-09-30,12,1.5,0.02,0.0,0,0,-4.56,-4.56,-4.54,-4.54,6.04,6.91
2016-09-14,2016-09-30,12,2.0,0.02,0.0,0,0,-4.06,-4.06,-4.04,-4.04,6.04,6.91
2016-09-14,2016-09-30,12,2.5,0.03,0.0,0,0,-3.57,-3.57,-3.54,-3.54,6.04,6.91
2016-09-14,2016-09-30,12,3.0,0.05,0.0,0,0,-3.09,-3.09,-3.04,-3.04,6.04,6.91
2016-09-14,2016-09-30,12,3.5,0.07,0.0,0,0,-2.61,-2.61,-2.54,-2.54,6.04,6.91
2016-09-14,2016-09-30,12,4.0,0.07,0.0,0,0,-2.11,-2.11,-2.04,-2.04,6.04,6.91
