date,close,dividend amount
2018-03-27,279.18,0.0
2018-03-28,257.78,0.0
2018-03-29,266.13,0.0
2018-04-02,252.48,0.0
2018-04-03,267.53,0.0
2018-04-04,286.94,0.0
2018-04-05,305.72,0.0
2018-04-06,299.3,0.0
2018-04-09,289.66,0.0
2018-04-10,304.7,0.0
2018-04-11,300.93,0.0
2018-04-12,294.08,0.0
2018-04-13,300.34,0.0
2018-04-16,291.21,0.0
2018-04-17,287.69,0.0
2018-04-18,293.35,0.0
2018-04-19,300.08,0.0
2018-04-20,290.24,0.0
2018-04-23,283.37,0.0
2018-04-24,283.46,0.0
2018-04-25,280.69,0.0
2018-04-26,285.48,0.0
2018-04-27,294.075,0.0
2018-04-30,293.9,0.0
2018-05-01,299.92,0.0
2018-05-02,301.15,0.0
2018-05-03,284.45,0.0
2018-05-04,294.09,0.0
2018-05-07,302.77,0.0
2018-05-08,301.97,0.0
2018-05-09,306.85,0.0
2018-05-10,305.02,0.0
2018-05-11,301.06,0.0
2018-05-14,291.97,0.0
2018-05-15,284.18,0.0
2018-05-16,286.48,0.0
2018-05-17,284.54,0.0
2018-05-18,276.82,0.0
2018-05-21,284.49,0.0
2018-05-22,275.01,0.0
2018-05-23,279.07,0.0
2018-05-24,277.85,0.0
2018-05-25,278.85,0.0
2018-05-29,283.76,0.0
2018-05-30,291.72,0.0
2018-05-31,284.73,0.0
2018-06-01,291.82,0.0
2018-06-04,296.74,0.0
2018-06-05,291.13,0.0
2018-06-06,319.5,0.0
2018-06-07,316.09,0.0
2018-06-08,317.66,0.0
2018-06-11,332.1,0.0
2018-06-12,342.77,0.0
2018-06-13,344.78,0.0
2018-06-14,357.72,0.0
2018-06-15,358.17,0.0
2018-06-18,370.83,0.0
2018-06-19,352.55,0.0
2018-06-20,362.22,0.0
2018-06-21,347.51,0.0
2018-06-22,333.63,0.0
2018-06-25,333.01,0.0
2018-06-26,342.0,0.0
2018-06-27,344.5,0.0
2018-06-28,349.93,0.0
2018-06-29,342.95,0.0
2018-07-02,335.07,0.0
2018-07-03,310.86,0.0
2018-07-05,309.16,0.0
2018-07-06,308.9,0.0
2018-07-09,318.51,0.0
2018-07-10,322.47,0.0
2018-07-11,318.96,0.0
2018-07-12,316.71,0.0
2018-07-13,318.87,0.0
2018-07-16,310.1,0.0
2018-07-17,322.69,0.0
2018-07-18,323.85,0.0
2018-07-19,320.23,0.0
2018-07-20,313.58,0.0
2018-07-23,303.2,0.0
2018-07-24,297.43,0.0
2018-07-25,308.74,0.0
2018-07-26,306.65,0.0
2018-07-27,297.18,0.0
2018-07-30,290.17,0.0
2018-07-31,298.14,0.0
2018-08-01,300.84,0.0
2018-08-02,349.54,0.0
2018-08-03,348.17,0.0
2018-08-06,341.99,0.0
2018-08-07,379.57,0.0
2018-08-08,370.34,0.0
2018-08-09,352.45,0.0
2018-08-10,355.49,0.0
2018-08-13,356.41,0.0
2018-08-14,347.64,0.0
2018-08-15,338.69,0.0
2018-08-16,335.45,0.0
2018-08-17,305.5,0.0
2018-08-20,308.44,0.0
2018-08-21,321.9,0.0
2018-08-22,321.64,0.0
2018-08-23,320.1,0.0
2018-08-24,322.82,0.0
2018-08-27,319.27,0.0
2018-08-28,311.86,0.0
2018-08-29,305.01,0.0
2018-08-30,303.15,0.0
2018-08-31,301.66,0.0
2018-09-04,288.95,0.0
2018-09-05,280.74,0.0
2018-09-06,280.95,0.0
2018-09-07,263.24,0.0
2018-09-10,285.5,0.0
2018-09-11,279.44,0.0
2018-09-12,290.54,0.0
2018-09-13,289.46,0.0
2018-09-14,295.2,0.0
2018-09-17,294.84,0.0
2018-09-18,284.96,0.0
2018-09-19,299.02,0.0
2018-09-20,298.33,0.0
2018-09-21,299.1,0.0
2018-09-24,299.68,0.0
2018-09-25,300.99,0.0
2018-09-26,309.58,0.0
2018-09-27,307.52,0.0
2018-09-28,264.77,0.0
2018-10-01,310.7,0.0
2018-10-02,301.02,0.0
2018-10-03,294.8,0.0
2018-10-04,281.83,0.0
2018-10-05,261.95,0.0
2018-10-08,250.56,0.0
2018-10-09,262.8,0.0
2018-10-10,256.88,0.0
2018-10-11,252.23,0.0
2018-10-12,258.78,0.0
2018-10-15,259.59,0.0
2018-10-16,276.59,0.0
2018-10-17,271.78,0.0
2018-10-18,263.91,0.0
2018-10-19,260.0,0.0
2018-10-22,260.95,0.0
2018-10-23,294.14,0.0
2018-10-24,288.5,0.0
2018-10-25,314.86,0.0
2018-10-26,330.9,0.0
2018-10-29,334.85,0.0
2018-10-30,329.9,0.0
2018-10-31,337.32,0.0
2018-11-01,344.28,0.0
2018-11-02,346.41,0.0
2018-11-05,341.4,0.0
2018-11-06,341.06,0.0
2018-11-07,348.16,0.0
2018-11-08,351.4,0.0
2018-11-09,350.51,0.0
